0,0,0,0,0,0,0,0,0,0,0,0
4185.13,3819.13,6378.61,6863.41,7758.67,7850.66,7732.11,7568.63,6649.2,6083.43,5449.73,4476.28
2.07,1.74,1.62,1.18,0.84,0.56,0.51,0.66,0.94,1.38,1.7,2.01
119.04,113.55,169.01,177.91,207.02,193.11,205.16,226.11,182.08,182.63,125.78,89.27
1.94,1.05,0.23,0.23,0.04,0.02,0.03,0.05,0.33,0.33,0.5,0.62
2.19,0.78,0.03,0.02,0.01,0.38,1.95,0.68,0.95,0.03,0.01,0.35
0.05,0,0,0.01,0,0.01,0.4,0.38,0.41,0.09,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
238.86,250.15,447.73,542.23,718.83,786.6,871.53,746.88,579.11,433.23,301.38,215.36
